DAYOFYEAR,HOUROFDAY,ENTRIES,EXITS,HOURLYPrecip
1,0,63,63,0.0166666666667
1,1,65,82,0.03
1,2,18,30,0.0
1,3,31,29,0.0
1,4,31,25,0.0
1,5,19,25,0.0
1,6,16,21,0.0
1,7,65,47,0.0
1,8,86,55,0.0
1,9,74,71,0.0
1,10,53,63,0.0
1,11,142,110,0.0
1,12,161,111,0.0
1,13,120,123,0.0
1,14,58,92,0.0
1,15,179,148,0.0
1,16,150,128,0.0
1,17,60,63,0.0
1,18,41,65,0.0
1,19,106,92,0.0
1,20,75,72,0.0
1,21,52,36,0.0
1,22,12,31,0.0
1,23,30,30,0.0
2,0,14,18,0.0
2,1,12,8,0.0
2,2,5,7,0.0
2,3,28,17,0.0
2,4,48,27,0.0
2,5,42,35,0.0
2,6,33,42,0.0
2,7,113,90,0.03
2,8,130,90,0.02
2,9,108,84,0.0233333333333
2,10,63,73,0.022
2,11,185,150,0.05
2,12,187,136,0.0133333333333
2,13,154,120,0.012
2,14,73,100,0.0233333333333
2,15,229,175,0.024
2,16,179,144,0.0155555555556
2,17,115,90,0.0266666666667
2,18,40,46,0.0254545454545
2,19,118,96,0.025
2,20,78,74,0.00333333333333
2,21,58,38,0.00333333333333
2,22,11,17,0.025
2,23,28,29,0.00714285714286
3,0,13,16,0.0125
3,1,13,8,0.0183333333333
3,2,26,13,0.0225
3,3,81,44,0.00666666666667
3,4,181,91,0.0166666666667
3,5,276,202,0.0333333333333
3,6,365,223,0.0333333333333
3,7,365,291,0.0166666666667
3,8,279,201,0.0214285714286
3,9,110,129,0.025
3,10,79,89,0.0216666666667
3,11,228,173,0.03
3,12,252,179,0.046
3,13,164,178,0.0342857142857
3,14,238,268,0.0214285714286
3,15,475,310,0.06875
3,16,356,285,0.0522222222222
3,17,215,251,0.02
3,18,131,159,0.0275
3,19,179,146,0.00428571428571
3,20,100,99,0.0
3,21,56,44,0.00625
3,22,16,14,0.012
3,23,32,32,0.0144444444444
4,0,15,18,0.0
4,1,12,11,0.0
4,2,21,14,0.0
4,3,86,42,0.0
4,4,195,94,0.01875
4,5,264,259,0.025
4,6,231,262,0.0
4,7,396,297,0.0
4,8,333,229,0.0
4,9,130,125,0.0
4,10,67,87,0.0
4,11,241,180,0.0
4,12,273,183,0.0
4,13,179,206,0.0
4,14,227,231,0.0
4,15,492,334,0.0
4,16,400,315,0.0
4,17,261,291,0.0
4,18,128,154,0.0
4,19,194,161,0.0
4,20,103,102,0.0
4,21,77,41,0.0
4,22,16,23,0.0
4,23,33,33,0.0
5,0,15,19,0.0
5,1,14,9,0.0
5,2,14,16,0.0
5,3,85,45,0.0
5,4,205,99,0.0
5,5,324,227,0.0
5,6,198,258,0.0
5,7,402,314,0.0
5,8,324,227,0.0
5,9,159,142,0.0
5,10,69,99,0.0
5,11,233,177,0.0
5,12,260,176,0.0
5,13,239,194,0.0
5,14,230,171,0.0
5,15,494,334,0.0
5,16,379,302,0.0
5,17,285,466,0.0
5,18,130,110,0.0
5,19,202,164,0.0
5,20,112,108,0.0
5,21,74,77,0.0
5,22,19,21,0.0
5,23,36,36,0.00833333333333
6,0,17,19,0.05
6,1,13,9,0.0216666666667
6,2,16,14,0.014
6,3,82,48,0.0257142857143
6,4,182,92,0.03
6,5,354,182,0.0333333333333
6,6,203,199,0.0375
6,7,384,295,0.0254545454545
6,8,276,215,0.0333333333333
6,9,131,131,0.0
6,10,89,96,0.0
6,11,250,183,0.0
6,12,266,183,0.0
