,STATION,Stop Name,GTFS Latitude,GTFS Longitude
0,1 AVE,1 Av,40.730953,-73.981628
1,1 AV,1 Av,40.730953,-73.981628
2,103 ST,103 St,40.796092,-73.961454
3,103 ST,103 St,40.799446,-73.968379
4,103 ST,103 St,40.7906,-73.947478
5,103 ST,103 St,40.796092,-73.961454
6,103 ST,103 St,40.799446,-73.968379
7,103 ST,103 St,40.7906,-73.947478
8,103 ST,103 St,40.796092,-73.961454
9,103 ST,103 St,40.799446,-73.968379
10,103 ST,103 St,40.7906,-73.947478
11,103 ST-CORONA,103 St - Corona Plaza,40.749865,-73.8627
12,104 ST,104 St,40.695178,-73.84433
13,104 ST,104 St,40.681711,-73.837683
14,104 ST,104 St,40.695178,-73.84433
15,104 ST,104 St,40.681711,-73.837683
16,110 ST,110 St,40.79502,-73.94425
17,110 ST-CATHEDRL,110 St,40.79502,-73.94425
18,110 ST-CPN,110 St,40.79502,-73.94425
19,GREENWOOD-111,111 St,40.697418,-73.836345
20,GREENWOOD-111,111 St,40.684331,-73.832163
21,GREENWOOD-111,111 St,40.75173,-73.855334
22,111 ST,111 St,40.697418,-73.836345
23,111 ST,111 St,40.684331,-73.832163
24,111 ST,111 St,40.75173,-73.855334
25,111 ST,111 St,40.697418,-73.836345
26,111 ST,111 St,40.684331,-73.832163
27,111 ST,111 St,40.75173,-73.855334
28,111 ST,111 St,40.697418,-73.836345
29,111 ST,111 St,40.684331,-73.832163
30,111 ST,111 St,40.75173,-73.855334
31,116 ST,116 St,40.805085,-73.954882
32,116 ST,116 St,40.798629,-73.941617
33,116 ST,116 St,40.802098,-73.949625
34,116 ST,116 St,40.805085,-73.954882
35,116 ST,116 St,40.798629,-73.941617
36,116 ST,116 St,40.802098,-73.949625
37,116 ST,116 St,40.805085,-73.954882
38,116 ST,116 St,40.798629,-73.941617
39,116 ST,116 St,40.802098,-73.949625
40,116 ST-COLUMBIA,116 St - Columbia University,40.807722,-73.96411
41,121 ST,121 St,40.700492,-73.828294
42,125 ST,125 St,40.811109,-73.952343
43,125 ST,125 St,40.815581,-73.958372
44,125 ST,125 St,40.804138,-73.937594
45,125 ST,125 St,40.807754,-73.945495
46,125 ST,125 St,40.811109,-73.952343
47,125 ST,125 St,40.815581,-73.958372
48,125 ST,125 St,40.804138,-73.937594
49,125 ST,125 St,40.807754,-73.945495
50,125 ST,125 St,40.811109,-73.952343
51,125 ST,125 St,40.815581,-73.958372
52,125 ST,125 St,40.804138,-73.937594
53,125 ST,125 St,40.807754,-73.945495
54,125 ST,125 St,40.811109,-73.952343
55,125 ST,125 St,40.815581,-73.958372
56,125 ST,125 St,40.804138,-73.937594
57,125 ST,125 St,40.807754,-73.945495
58,135 ST,135 St,40.817894,-73.947649
59,135 ST,135 St,40.814229,-73.94077
60,135 ST,135 St,40.817894,-73.947649
61,135 ST,135 St,40.814229,-73.94077
62,137 ST CITY COL,137 St - City College,40.822008,-73.953676
63,137 ST-CITY COL,137 St - City College,40.822008,-73.953676
64,138 ST-GR CONC,138 St - Grand Concourse,40.813224,-73.929849
65,138/GRAND CONC,138 St - Grand Concourse,40.813224,-73.929849
66,138 ST-3 AVE,138 St - Grand Concourse,40.813224,-73.929849
67,14TH STREET,14 St,40.740893,-74.00169
68,14TH STREET,14 St,40.738228,-73.996209
69,14TH STREET,14 St,40.737826,-74.000201
70,14 ST-UNION SQ,14 St - Union Sq,40.735736,-73.990568
71,14 ST-UNION SQ,14 St - Union Sq,40.734673,-73.989951
72,14 ST-UNION SQ,14 St - Union Sq,40.735736,-73.990568
73,14 ST-UNION SQ,14 St - Union Sq,40.734673,-73.989951
74,14 ST-UNION SQ,14 St - Union Sq,40.735736,-73.990568
75,14 ST-UNION SQ,14 St - Union Sq,40.734673,-73.989951
76,14 ST-UNION SQ,14 St - Union Sq,40.735736,-73.990568
77,14 ST-UNION SQ,14 St - Union Sq,40.734673,-73.989951
78,145 ST,145 St,40.824783,-73.944216
79,145 ST,145 St,40.826551,-73.95036
80,145 ST,145 St,40.820421,-73.936245
81,145 ST,145 St,40.824783,-73.944216
82,145 ST,145 St,40.826551,-73.95036
83,145 ST,145 St,40.820421,-73.936245
84,145 ST,145 St,40.824783,-73.944216
85,145 ST,145 St,40.826551,-73.95036
86,145 ST,145 St,40.820421,-73.936245
87,149 ST-3 AVE,149 St - Grand Concourse,40.818375,-73.927351
88,149 ST-3 AVE,149 St - Grand Concourse,40.81841,-73.926718
89,149 ST-GR CONC,149 St - Grand Concourse,40.818375,-73.927351
90,149 ST-GR CONC,149 St - Grand Concourse,40.81841,-73.926718
91,149/GRAND CONC,149 St - Grand Concourse,40.818375,-73.927351
92,149/GRAND CONC,149 St - Grand Concourse,40.81841,-73.926718
93,15 ST-PROSPECT,15 St - Prospect Park,40.660365,-73.979493
94,155 ST,155 St,40.830518,-73.941514
95,155 ST,155 St,40.830135,-73.938209
96,155 ST,155 St,40.830518,-73.941514
97,155 ST,155 St,40.830135,-73.938209
98,157 ST,157 St,40.834041,-73.94489
99,161 ST-YANKEE,161 St - Yankee Stadium,40.827905,-73.925651
100,161 ST-YANKEE,161 St - Yankee Stadium,40.827994,-73.925831
101,161 ST-YANKEE,161 St - Yankee Stadium,40.827905,-73.925651
102,161 ST-YANKEE,161 St - Yankee Stadium,40.827994,-73.925831
103,161/YANKEE STAD,161 St - Yankee Stadium,40.827905,-73.925651
104,161/YANKEE STAD,161 St - Yankee Stadium,40.827994,-73.925831
105,161/YANKEE STAD,161 St - Yankee Stadium,40.827905,-73.925651
106,161/YANKEE STAD,161 St - Yankee Stadium,40.827994,-73.925831
